symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,risk_pct,risk_mult,risk_reasons,pnl
ETH/USDT,2024-02-26 20:00:00,2024-02-27 00:00:00,long,3181.2,3197.18,0.632497,2017.15,1.6137,3.0257,0.5761,1,soft_sl,3197.18,3143.44,0.04665,1.166,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:hot_long,4.89
BNB/USDT,2024-02-26 20:00:00,2024-02-27 00:00:00,long,397.93,403.94,3.620398,1451.54,1.1612,2.1773,0.0,1,soft_sl,403.9395,397.65,0.03126,1.166,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:hot_long,18.42
BNB/USDT,2024-02-28 16:00:00,2024-02-29 00:00:00,long,413.11,415.66,4.399952,1823.27,1.4586,2.7349,0.0,2,soft_sl,415.66,408.6,0.04199,1.05,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:hot_long|funding_window,7.03
BNB/USDT,2024-03-12 12:00:00,2024-03-12 16:00:00,long,530.78,546.16,2.699985,1453.86,1.1631,2.1808,0.1016,1,soft_sl,546.1565,532.38,0.05,1.25,market:trend|adx:strong|daily:aligned|obv:aligned,38.07
SOL/USDT,2024-03-25 20:00:00,2024-03-26 00:00:00,long,192.39,193.08,5.015421,966.65,0.7733,1.45,0.379,1,soft_sl,193.0786,186.87,0.04082,1.021,daily:aligned|obv:aligned|vol:elevated,0.85
ETH/USDT,2024-03-25 20:00:00,2024-03-26 00:00:00,long,3642.53,3650.1,0.286737,1045.53,0.8364,1.5683,0.4081,1,soft_sl,3650.1035,3565.21,0.03191,1.191,adx:trend|daily:aligned|obv:aligned,-0.64
ETH/USDT,2024-04-17 20:00:00,2024-04-18 00:00:00,short,3000.44,2968.01,0.345198,1030.15,0.8241,1.5452,-0.0361,1,soft_sl,2968.0125,3067.26,0.04491,1.123,adx:strong|daily:aligned|obv:aligned|vol:elevated,8.86
BNB/USDT,2024-04-22 08:00:00,2024-04-22 12:00:00,long,602.99,606.69,2.157494,1304.94,1.0439,1.9574,0.0652,1,soft_sl,606.6875,594.35,0.0347,0.868,daily:aligned|obv:aligned|rsi:hot_long|funding_window,4.91
SOL/USDT,2024-04-30 16:00:00,2024-04-30 20:00:00,short,127.71,122.05,8.293966,1035.73,0.8286,1.5536,0.0518,1,soft_sl,122.0477,125.99,0.04244,1.061,market:trend|adx:trend|daily:aligned|obv:aligned|vol:elevated|funding_window,44.5
ETH/USDT,2024-05-01 00:00:00,2024-05-01 04:00:00,short,3012.57,2966.19,0.385673,1152.92,0.9223,1.7294,0.0576,1,soft_sl,2966.1855,3037.45,0.0347,0.868,daily:aligned|obv:aligned|funding_window|daily_close,15.18
